%-Parking-data-(estimated-cars-per-bay)-for-bay-344
@relation parking

@attribute eventTime date ‘yyyy-MM-dd-HH:mm:ss’
@attribute occupiedSpaces numeric

@data
2013-06-26-17:00:00,3.21666666666667
2013-10-15-11:00:00,3.58333333333333
2013-10-16-13:00:00,2.4
2013-10-22-08:00:00,1
2013-08-09-08:00:00,0.5
2013-05-17-14:00:00,1
2014-01-30-11:00:00,1.8
2013-08-13-11:00:00,1.76666666666667
2013-09-02-11:00:00,1.98333333333333
2013-06-18-12:00:00,1.53333333333333
2013-06-04-14:00:00,2.06666666666667
2013-04-19-17:00:00,0.466666666666667
2013-09-17-16:00:00,2.33333333333333
2013-07-17-16:00:00,2.55
2013-11-26-15:00:00,1.48333333333333
2013-08-16-11:00:00,1
2013-05-01-15:00:00,2.23333333333333
2013-10-02-10:00:00,2
2013-07-25-14:00:00,1.46666666666667
2013-05-09-18:00:00,1.33333333333333
2014-01-14-15:00:00,1.73333333333333
2013-11-21-15:00:00,1.76666666666667
2013-05-27-19:00:00,1
2013-06-26-19:00:00,0.533333333333333
2013-09-27-13:00:00,2
2013-10-11-12:00:00,0.0833333333333333
2013-10-15-09:00:00,3
2014-01-10-18:00:00,0.466666666666667
2014-01-29-16:00:00,1.06666666666667
2013-08-13-09:00:00,2
2014-01-23-15:00:00,0.216666666666667
2013-08-09-14:00:00,0.75
2014-02-03-07:00:00,0.0166666666666667
2013-12-02-17:00:00,1.88333333333333
2014-02-06-17:00:00,0.916666666666667
2013-06-04-13:00:00,1.26666666666667
2013-09-02-09:00:00,1.28333333333333
2013-05-30-10:00:00,0.983333333333333
2013-05-28-09:00:00,0.766666666666667
2014-02-05-09:00:00,2.61666666666667
2013-09-26-19:00:00,0.683333333333333
2013-07-12-16:00:00,2.13333333333333
2013-05-01-13:00:00,2.66666666666667
2013-08-16-13:00:00,1
2013-12-18-18:00:00,0.6
2013-07-25-08:00:00,0.6
2013-09-09-17:00:00,3.26666666666667
2013-07-17-18:00:00,2.43333333333333
2013-08-14-11:00:00,2.81666666666667
2013-12-05-10:00:00,2
2013-11-21-09:00:00,1
2014-01-10-16:00:00,0.95
2013-07-16-14:00:00,2.8
2013-10-15-15:00:00,1.98333333333333
2013-10-24-17:00:00,0.766666666666667
2014-01-14-13:00:00,1.51666666666667
2013-08-30-20:00:00,0.316666666666667
2013-11-08-10:00:00,2.11666666666667
2013-07-04-07:00:00,0.383333333333333
2013-09-27-15:00:00,2.86666666666667
2013-08-05-17:00:00,1
2013-05-17-16:00:00,0.583333333333333
2013-08-09-12:00:00,1.03333333333333
2013-06-27-11:00:00,4.13333333333333
2013-09-26-17:00:00,0.933333333333333
2013-08-16-15:00:00,1.91666666666667
2013-10-08-10:00:00,1
2013-09-02-15:00:00,1.16666666666667
2014-01-28-12:00:00,1
2013-08-14-09:00:00,2
2013-12-18-16:00:00,1.48333333333333
2014-01-13-17:00:00,0.433333333333333
2013-06-05-17:00:00,2
2013-09-05-10:00:00,1.61666666666667
2013-12-05-08:00:00,1.13333333333333
2013-11-21-11:00:00,0.75
2013-07-25-10:00:00,1.03333333333333
2013-05-17-15:00:00,0.9
2013-10-15-13:00:00,2
2014-01-10-14:00:00,2.48333333333333
2013-07-16-12:00:00,2.9
2013-11-16-18:00:00,0.516666666666667
2013-05-30-14:00:00,1.81666666666667
2013-11-05-16:00:00,1.58333333333333
2014-01-30-08:00:00,1
2013-09-23-12:00:00,0.966666666666667
2013-11-08-08:00:00,1
2013-10-05-17:00:00,1
2013-09-02-13:00:00,1.71666666666667
2013-06-27-09:00:00,3.03333333333333
2013-08-05-15:00:00,2.36666666666667
2013-10-08-08:00:00,0.55
2013-06-05-19:00:00,0.483333333333333
2013-08-27-15:00:00,3
2013-05-20-17:00:00,2.31666666666667
2013-05-01-17:00:00,2.03333333333333
2014-01-28-14:00:00,1.76666666666667
2013-08-14-15:00:00,2.08333333333333
2013-08-16-17:00:00,1.86666666666667
2013-12-12-16:00:00,0.0833333333333333
2013-06-20-12:00:00,2.15
2013-09-05-08:00:00,1.05
2013-12-05-14:00:00,0.733333333333333
2013-08-08-16:00:00,2
2013-04-11-12:00:00,0.75
2013-08-21-18:00:00,1
2013-04-18-11:00:00,1.98333333333333
2013-10-03-16:00:00,1.65
2014-01-10-12:00:00,0.833333333333333
2013-07-16-10:00:00,2.03333333333333
2013-06-20-17:00:00,2.15
2013-12-02-11:00:00,0.0166666666666667
2013-09-23-14:00:00,1.95
2013-11-08-14:00:00,0.883333333333333
2013-07-15-15:00:00,1.21666666666667
2013-10-08-14:00:00,2
2013-11-05-18:00:00,1.8
2013-10-22-16:00:00,0.6
2013-11-16-16:00:00,0.483333333333333
2013-08-05-13:00:00,2.55
2013-05-30-12:00:00,1.25
2013-11-15-11:00:00,2.15
2014-02-08-16:00:00,0.866666666666667
2013-05-20-19:00:00,0.883333333333333
2013-07-19-10:00:00,2.38333333333333
2013-12-12-18:00:00,0.5
2013-06-27-15:00:00,0.833333333333333
2013-05-10-18:00:00,0.5
2013-06-05-13:00:00,1.13333333333333
2014-01-28-08:00:00,0.5
2013-08-14-13:00:00,1.95
2013-12-09-17:00:00,2.71666666666667
2013-08-08-18:00:00,1.08333333333333
2013-08-21-16:00:00,1.58333333333333
2013-09-05-14:00:00,2.9
2013-12-05-12:00:00,1.68333333333333
2014-01-10-10:00:00,1
2013-07-16-08:00:00,0.966666666666667
2013-11-29-13:00:00,1.1
2013-12-02-09:00:00,0.766666666666667
2013-06-27-07:00:00,0.25
2013-09-23-08:00:00,0.533333333333333
2013-05-14-18:00:00,1.5
2013-10-03-14:00:00,1.7
2013-06-21-16:00:00,0.833333333333333
