"parkingstreetkey","USRN","StreetName","parkingZoneKey"
"699","8401666","Bennett's Yard","40"
"701","8401666","Bennett's Yard","63"
"2668","8401666","Bennett's Yard","42"
"5601","8401666","Bennett's Yard","42"
"839","8401667","Bessborough Gardens","75"
"841","8401667","Bessborough Gardens","39"
"842","8401667","Bessborough Gardens","2"
"843","8401667","Bessborough Gardens","63"
"2679","8401667","Bessborough Gardens","2"
"2680","8401667","Bessborough Gardens","39"
"5608","8401667","Bessborough Gardens","39"
"1049","8401668","Blandford Square","15"
"2695","8401668","Blandford Square","11"
"5616","8401668","Blandford Square","11"
"1475","8401669","Bowland Yard","3"
"2735","8401669","Bowland Yard","3"
"5652","8401670","Bristol Mews","29"
"1503","8401670","Bristol Mews","29"
"2757","8401670","Bristol Mews","29"
"1531","8401672","Browning Mews","51"
"2778","8401672","Browning Mews","51"
"5666","8401672","Browning Mews","51"
"1546","8401673","Brydges Place","75"
"2790","8401673","Brydges Place","57"
"5675","8401673","Brydges Place","57"
"441","8401674","May's Court","57"
"6251","8401674","May's Court","57"
"3775","8401674","May's Court","57"
"2477","8401675","Kensington Gore","5"
"3563","8401675","Kensington Gore","5"
"5142","8401675","Kensington Gore","5"
"1567","8401676","Bull Inn Court","75"
"2801","8401676","Bull Inn Court","57"
"5682","8401676","Bull Inn Court","57"
"1575","8401677","Burlington Arcade","47"
"2809","8401677","Burlington Arcade","47"
"5688","8401677","Burlington Arcade","47"
"1604","8401678","Carey Place","75"
"1605","8401678","Carey Place","63"
"5703","8401678","Carey Place","42"
"2833","8401678","Carey Place","42"
"1977","8401679","Angel Court","47"
"2582","8401679","Angel Court","47"
"5727","8401680","Cecil Court","57"
"2874","8401680","Cecil Court","57"
"1656","8401680","Cecil Court","75"
"1724","8401681","Church Place","47"
"2935","8401681","Church Place","47"
"5758","8401681","Church Place","47"
"1756","8401682","Clement's Inn Passage","57"
"2963","8401682","Clement's Inn Passage","57"
"5777","8401682","Clement's Inn Passage","57"
"1830","8401683","Cranbourn Alley","57"
"3023","8401683","Cranbourn Alley","57"
"5812","8401683","Cranbourn Alley","57"
"1840","8401684","Craven Passage","57"
"3030","8401684","Craven Passage","57"
"5813","8401684","Craven Passage","57"
"1852","8401685","Crown Court","75"
"3041","8401685","Crown Court","57"
"5818","8401685","Crown Court","57"
"6284","8401686","Mount Street Gardens","47"
"3834","8401686","Mount Street Gardens","47"
"1924","8401687","Desborough Close","37"
"3099","8401687","Desborough Close","28"
"5858","8401687","Desborough Close","28"
"1927","8401688","Devereux Court","57"
"3100","8401688","Devereux Court","57"
"5859","8401688","Devereux Court","57"
"1941","8401689","Diadem Court","75"
"3111","8401689","Diadem Court","57"
"5867","8401689","Diadem Court","57"
"2023","8401690","Eccleston Bridge","2"
"3180","8401690","Eccleston Bridge","2"
"5911","8401690","Eccleston Bridge","2"
"700","8401691","Phipps Mews","3"
"6360","8401691","Phipps Mews","3"
"3996","8401691","Phipps Mews","3"
"2050","8401692","Elizabeth Bridge","2"
"3202","8401692","Elizabeth Bridge","2"
"3203","8401692","Elizabeth Bridge","6"
"4888","8401692","Elizabeth Bridge","2"
"5938","8401693","Evelyn Yard","52"
"3230","8401693","Evelyn Yard","52"
"2086","8401693","Evelyn Yard","52"
"2089","8401694","Exchange Court","57"
"3232","8401694","Exchange Court","57"
"5940","8401694","Exchange Court","57"
"2093","8401695","Fairlop Place","29"
"3237","8401695","Fairlop Place","9"
"2095","8401696","Falconberg Mews","57"
"3239","8401696","Falconberg Mews","57"
"5944","8401696","Falconberg Mews","57"
"2151","8401697","Gees Court","52"
"3289","8401697","Gees Court","52"
"5974","8401697","Gees Court","52"
"2158","8401698","Gerald Mews","3"
"3294","8401698","Gerald Mews","3"
"5977","8401698","Gerald Mews","3"
"2190","8401699","Goodwin's Court","57"
"3324","8401699","Goodwin's Court","57"
"5991","8401699","Goodwin's Court","57"
"2198","8401700","Grange Court","75"
"3332","8401700","Grange Court","57"
"5998","8401700","Grange Court","57"
"2231","8401701","Greek Court","57"
"3361","8401701","Greek Court","57"
"6012","8401701","Greek Court","57"
"2241","8401702","Green's Court","75"
"3367","8401702","Green's Court","57"
"6014","8401702","Green's Court","57"
"2246","8401703","Greville Place","29"
"6020","8401703","Greville Place","29"
"3371","8401703","Greville Place","29"
"6025","8401704","Greyhound Court","57"
"2255","8401704","Greyhound Court","57"
"3376","8401704","Greyhound Court","57"
"6032","8401705","Grosvenor Gardens Mews North","3"
"3384","8401705","Grosvenor Gardens Mews North","3"
"2262","8401705","Grosvenor Gardens Mews North","3"
"2273","8401706","Grotto Passage","75"
"3392","8401706","Grotto Passage","51"
"6036","8401706","Grotto Passage","51"
"2299","8401707","Hamilton Mews","47"
"6052","8401707","Hamilton Mews","47"
"3412","8401707","Hamilton Mews","47"
"2307","8401708","Hanover Place","57"
"3417","8401708","Hanover Place","57"
"6055","8401708","Hanover Place","57"
"2341","8401709","Haunch Of Venison Yard","47"
"6065","8401709","Haunch Of Venison Yard","47"
"3450","8401709","Haunch Of Venison Yard","47"
"2388","8401710","Horse And Dolphin Yard","57"
"3493","8401710","Horse And Dolphin Yard","57"
"6092","8401710","Horse And Dolphin Yard","57"
"4270","8401711","Sporburg Place","16"
"2018","8401712","Apsley Way","71"
"2586","8401712","Apsley Way","74"
"2427","8401715","Hyde Park Square Mews","50"
"3519","8401715","Hyde Park Square Mews","50"
"6109","8401715","Hyde Park Square Mews","50"
"2450","8401716","Jason Court","52"
"3539","8401716","Jason Court","52"
"6118","8401716","Jason Court","52"
"2462","8401717","Jones Street","75"
"3551","8401717","Jones Street","47"
"6125","8401717","Jones Street","47"
"2468","8401718","Kemps Court","57"
"6130","8401718","Kemps Court","57"
"3557","8401718","Kemps Court","57"
"2479","8401719","Kent Passage","71"
"3565","8401719","Kent Passage","74"
"2481","8401720","Kent Yard","4"
"3567","8401720","Kent Yard","4"
"6134","8401720","Kent Yard","4"
"2483","8401721","Kilburn High Road","29"
"3568","8401721","Kilburn High Road","29"
"6135","8401721","Kilburn High Road","29"
"2492","8401723","Kingly Court","57"
"3582","8401723","Kingly Court","57"
"6141","8401723","Kingly Court","57"
"2502","8401724","Kinnerton Place North","3"
"3591","8401724","Kinnerton Place North","3"
"6144","8401724","Kinnerton Place North","3"
"2507","8401725","Knights Arcade","4"
"3595","8401725","Knights Arcade","4"
"6147","8401725","Knights Arcade","4"
"2520","8401726","Lancashire Court","75"
"2544","8401727","Lazenby Court","57"
"6165","8401727","Lazenby Court","57"
"3630","8401727","Lazenby Court","57"
"2085","8401728","Euston Road","51"
"5937","8401728","Euston Road","51"
"3229","8401728","Euston Road","51"
"281","8401729","Lewisham Street","75"
"282","8401729","Lewisham Street","63"
"6170","8401729","Lewisham Street","42"
"3644","8401729","Lewisham Street","42"
"328","8401730","Long's Court","57"
"3678","8401730","Long's Court","57"
"6193","8401730","Long's Court","57"
"1797","8401731","Colonnade Walk","2"
"2993","8401731","Colonnade Walk","2"
"5796","8401731","Colonnade Walk","2"
"346","8401732","Lowndes Court","3"
"352","8401733","Lumley Court","75"
"6205","8401733","Lumley Court","57"
"3699","8401733","Lumley Court","57"
"1361","8401734","Westbourne Park Passage","14"
"4567","8401734","Westbourne Park Passage","14"
"5009","8401734","Westbourne Park Passage","14"
"53","8401735","Queen's Gardens","14"
"796","8401735","Queen's Gardens","14"
"4992","8401735","Queen's Gardens","14"
"1590","8401736","Callendar Road","5"
"2821","8401736","Callendar Road","5"
"5697","8401736","Callendar Road","5"
"403","8401737","Margaret Court","75"
"3742","8401737","Margaret Court","52"
"6235","8401737","Margaret Court","52"
"406","8401738","Market Court","52"
"3744","8401738","Market Court","52"
"6236","8401738","Market Court","52"
"16","8401739","Mason's Yard","47"
"435","8401739","Mason's Yard","47"
"3771","8401739","Mason's Yard","47"
"6248","8401739","Mason's Yard","47"
"455","8401740","Miles Place","15"
"3786","8401740","Miles Place","12"
"6257","8401740","Miles Place","12"
"529","8401741","New Coventry Street","57"
"4392","8401741","New Coventry Street","57"
"531","8401742","New Inn Passage","75"
"6293","8401742","New Inn Passage","57"
"3849","8401742","New Inn Passage","57"
"537","8401743","Newport Court","57"
"6299","8401743","Newport Court","57"
"3859","8401743","Newport Court","57"
"2934","8401744","Christchurch Walk","42"
"600","8401745","Orange Yard","57"
"3909","8401745","Orange Yard","57"
"6324","8401745","Orange Yard","57"
"609","8401746","Orme Square","14"
"3917","8401746","Orme Square","14"
"4977","8401746","Orme Square","14"
"626","8401747","Oxford Road","29"
"3933","8401747","Oxford Road","29"
"3934","8401747","Oxford Road","31"
"6334","8401747","Oxford Road","29"
"638","8401748","Palace Mews","3"
"3950","8401748","Palace Mews","3"
"6336","8401748","Palace Mews","3"
"676","8401749","Peabody Avenue","75"
"677","8401749","Peabody Avenue","2"
"678","8401749","Peabody Avenue","3"
"3984","8401749","Peabody Avenue","2"
"6351","8401749","Peabody Avenue","2"
"691","8401751","Percy Passage","52"
"6356","8401751","Percy Passage","52"
"3991","8401751","Percy Passage","52"
"694","8401752","Perry's Place","52"
"3993","8401752","Perry's Place","52"
"6358","8401752","Perry's Place","52"
"703","8401753","Piccadilly Arcade","47"
"3998","8401753","Piccadilly Arcade","47"
"6361","8401753","Piccadilly Arcade","47"
"706","8401754","Pickering Mews","14"
"4003","8401754","Pickering Mews","14"
"4983","8401754","Pickering Mews","14"
"707","8401755","Pickering Place","47"
"6363","8401755","Pickering Place","47"
"4004","8401755","Pickering Place","47"
"733","8401756","Porchester Mews","14"
"4021","8401756","Porchester Mews","14"
"4986","8401756","Porchester Mews","14"
"755","8401757","Portsea Mews","50"
"4040","8401757","Portsea Mews","53"
"6380","8401757","Portsea Mews","53"
"784","8401758","Quadrant Arcade","57"
"6390","8401758","Quadrant Arcade","57"
"4066","8401758","Quadrant Arcade","57"
"2280","8401759","Halkin Arcade","3"
"3398","8401759","Halkin Arcade","3"
"6041","8401759","Halkin Arcade","3"
"2454","8401760","Jervis Court","47"
"3544","8401760","Jervis Court","47"
"6121","8401760","Jervis Court","47"
"3578","8401761","King George Square","42"
"3579","8401761","King George Square","42"
"887","8401763","Rosetti Mews","29"
"4147","8401763","Rosetti Mews","29"
"6434","8401763","Rosetti Mews","29"
"895","8401764","Royal Arcade","47"
"4154","8401764","Royal Arcade","47"
"6438","8401764","Royal Arcade","47"
"900","8401765","Rupert Court","57"
"4159","8401765","Rupert Court","57"
"6442","8401765","Rupert Court","57"
"909","8401766","Rutland Gardens Mews","4"
"4166","8401766","Rutland Gardens Mews","4"
"6447","8401766","Rutland Gardens Mews","4"
"257","8401767","Horseferry Road","39"
"2389","8401767","Horseferry Road","75"
"2390","8401767","Horseferry Road","39"
"5332","8401767","Horseferry Road","42"
"5488","8401767","Horseferry Road","42"
"2391","8401767","Horseferry Road","40"
"2392","8401767","Horseferry Road","63"
"3497","8401767","Horseferry Road","42"
"3498","8401767","Horseferry Road","40"
"915","8401768","Rutland Mews West","75"
"4173","8401768","Rutland Mews West","4"
"6452","8401768","Rutland Mews West","4"
"919","8401769","Ryder Court","47"
"4175","8401769","Ryder Court","47"
"6454","8401769","Ryder Court","47"
"922","8401770","Ryder Yard","47"
"4177","8401770","Ryder Yard","47"
"6456","8401770","Ryder Yard","47"
"1004","8401771","Savoy Buildings","57"
"4191","8401771","Savoy Buildings","57"
"6464","8401771","Savoy Buildings","57"
"1019","8401772","Sedley Place","47"
"4203","8401772","Sedley Place","47"
"6474","8401772","Sedley Place","47"
"1037","8401773","Shaver's Place","57"
"6483","8401773","Shaver's Place","57"
"4218","8401773","Shaver's Place","57"
